date;hour;price
2022-07-21;9;451,86
2022-07-21;10;421,58
2022-07-21;11;371,94
2022-07-21;12;337,75
2022-07-21;13;312,28
2022-07-21;14;215,04
2022-07-21;15;187,30
2022-07-21;16;323,01
2022-07-21;17;288,72
2022-07-21;18;417,60
2022-07-21;19;400,00
2022-07-21;20;440,76
2022-07-21;21;376,91
2022-07-21;22;414,61
2022-07-21;23;324,80
2022-07-22;0;16,30
2022-07-22;1;9,59
2022-07-22;2;4,91
2022-07-22;3;4,36
2022-07-22;4;4,17
2022-07-22;5;4,97
2022-07-22;6;187,88
2022-07-22;7;429,01
2022-07-22;8;383,45
2022-07-22;9;327,10
2022-07-22;10;334,43
2022-07-22;11;312,01
2022-07-22;12;198,10
2022-07-22;13;191,64
2022-07-22;14;179,29
2022-07-22;15;179,29
2022-07-22;16;174,66
2022-07-22;17;187,38
2022-07-22;18;187,38
2022-07-22;19;169,47
2022-07-22;20;165,43
2022-07-22;21;164,26
2022-07-22;22;163,55
2022-07-22;23;21,01
2022-07-23;0;19,05
2022-07-23;1;16,27
2022-07-23;2;15,79
2022-07-23;3;16,13
2022-07-23;4;14,25
2022-07-23;5;16,05
2022-07-23;6;29,04
2022-07-23;7;40,72
2022-07-23;8;78,10
2022-07-23;9;155,52
2022-07-23;10;168,34
2022-07-23;11;168,48
2022-07-23;12;168,64
2022-07-23;13;161,61
2022-07-23;14;151,44
2022-07-23;15;150,07
2022-07-23;16;161,04
2022-07-23;17;164,50
2022-07-23;18;168,35
2022-07-23;19;168,74
2022-07-23;20;168,45
2022-07-23;21;166,07
2022-07-23;22;164,97
2022-07-23;23;83,08
2022-07-24;0;51,40
2022-07-24;1;45,96
2022-07-24;2;39,13
2022-07-24;3;35,40
2022-07-24;4;38,06
2022-07-24;5;46,00
2022-07-24;6;51,11
2022-07-24;7;59,50
2022-07-24;8;80,03
2022-07-24;9;98,42
2022-07-24;10;95,59
2022-07-24;11;95,59
2022-07-24;12;70,00
2022-07-24;13;57,08
2022-07-24;14;47,60
2022-07-24;15;60,63
2022-07-24;16;56,98
2022-07-24;17;72,04
2022-07-24;18;139,89
2022-07-24;19;140,08
2022-07-24;20;125,07
2022-07-24;21;75,02
2022-07-24;22;31,27
2022-07-24;23;27,11
2022-07-25;0;4,69
2022-07-25;1;4,56
2022-07-25;2;4,66
2022-07-25;3;4,65
2022-07-25;4;4,65
2022-07-25;5;4,99
2022-07-25;6;4,79
2022-07-25;7;9,54
2022-07-25;8;12,91
2022-07-25;9;14,22
2022-07-25;10;16,39
2022-07-25;11;14,30
2022-07-25;12;12,94
2022-07-25;13;18,17
2022-07-25;14;19,14
2022-07-25;15;19,07
2022-07-25;16;14,38
2022-07-25;17;20,65
2022-07-25;18;16,14
2022-07-25;19;14,38
2022-07-25;20;10,68
2022-07-25;21;7,65
2022-07-25;22;4,95
2022-07-25;23;4,03
2022-07-26;0;4,31
2022-07-26;1;2,65
2022-07-26;2;1,57
2022-07-26;3;1,51
2022-07-26;4;1,53
2022-07-26;5;3,05
2022-07-26;6;5,09
2022-07-26;7;8,54
2022-07-26;8;16,86
2022-07-26;9;11,90
2022-07-26;10;11,36
2022-07-26;11;9,33
2022-07-26;12;9,67
2022-07-26;13;7,92
2022-07-26;14;7,24
2022-07-26;15;7,00
2022-07-26;16;7,14
2022-07-26;17;7,28
2022-07-26;18;9,94
2022-07-26;19;9,00
2022-07-26;20;9,99
2022-07-26;21;8,35
2022-07-26;22;7,53
2022-07-26;23;2,46
2022-07-27;0;1,75
2022-07-27;1;1,44
2022-07-27;2;1,40
2022-07-27;3;1,33
2022-07-27;4;1,37
2022-07-27;5;1,45
2022-07-27;6;1,49
2022-07-27;7;3,41
2022-07-27;8;5,03
2022-07-27;9;5,51
2022-07-27;10;79,44
2022-07-27;11;107,47
2022-07-27;12;108,99
2022-07-27;13;113,79
2022-07-27;14;114,02
2022-07-27;15;162,08
2022-07-27;16;174,60
2022-07-27;17;190,23
2022-07-27;18;191,06
2022-07-27;19;190,78
2022-07-27;20;175,05
2022-07-27;21;181,62
2022-07-27;22;159,83
2022-07-27;23;4,91
2022-07-28;0;2,65
2022-07-28;1;2,16
2022-07-28;2;2,26
2022-07-28;3;2,48
2022-07-28;4;3,23
2022-07-28;5;5,23
2022-07-28;6;6,91
2022-07-28;7;50,05
2022-07-28;8;200,05
2022-07-28;9;206,57
2022-07-28;10;209,92
2022-07-28;11;209,98
2022-07-28;12;209,97
2022-07-28;13;197,19
2022-07-28;14;204,25
2022-07-28;15;200,09
2022-07-28;16;205,73
2022-07-28;17;225,04
2022-07-28;18;499,90
2022-07-28;19;225,08
2022-07-28;20;214,91
2022-07-28;21;399,98
2022-07-28;22;207,25
2022-07-28;23;179,56
2022-07-29;0;36,84
2022-07-29;1;31,24
2022-07-29;2;28,02
2022-07-29;3;25,62
2022-07-29;4;26,53
2022-07-29;5;29,81
2022-07-29;6;200,00
2022-07-29;7;495,95
2022-07-29;8;225,00
2022-07-29;9;216,11
2022-07-29;10;214,88
2022-07-29;11;214,07
2022-07-29;12;214,31
2022-07-29;13;212,35
2022-07-29;14;213,26
2022-07-29;15;212,70
2022-07-29;16;212,99
2022-07-29;17;216,05
2022-07-29;18;219,55
2022-07-29;19;215,33
2022-07-29;20;210,40
2022-07-29;21;207,67
2022-07-29;22;207,51
2022-07-29;23;147,28
2022-07-30;0;29,89
2022-07-30;1;24,08
2022-07-30;2;21,16
2022-07-30;3;20,08
2022-07-30;4;19,42
2022-07-30;5;19,43
2022-07-30;6;19,99
2022-07-30;7;24,81
2022-07-30;8;30,50
2022-07-30;9;133,76
2022-07-30;10;138,14
2022-07-30;11;148,36
2022-07-30;12;129,95
2022-07-30;13;112,11
2022-07-30;14;30,64
2022-07-30;15;45,68
2022-07-30;16;204,29
2022-07-30;17;209,95
2022-07-30;18;213,78
2022-07-30;19;213,37
2022-07-30;20;205,24
2022-07-30;21;200,00
2022-07-30;22;59,00
2022-07-30;23;21,97
2022-07-31;0;21,58
2022-07-31;1;21,81
2022-07-31;2;21,18
2022-07-31;3;22,06
2022-07-31;4;21,43
2022-07-31;5;21,05
2022-07-31;6;22,15
2022-07-31;7;23,50
2022-07-31;8;25,85
2022-07-31;9;25,28
2022-07-31;10;25,99
2022-07-31;11;24,33
2022-07-31;12;21,31
2022-07-31;13;19,55
2022-07-31;14;20,08
2022-07-31;15;22,57
2022-07-31;16;55,92
2022-07-31;17;200,00
2022-07-31;18;217,31
2022-07-31;19;218,00
2022-07-31;20;209,01
2022-07-31;21;214,34
2022-07-31;22;149,17
2022-07-31;23;16,38
2022-08-01;0;11,99
2022-08-01;1;11,19
2022-08-01;2;11,40
2022-08-01;3;11,48
2022-08-01;4;11,94
2022-08-01;5;12,49
2022-08-01;6;15,33
2022-08-01;7;433,56
2022-08-01;8;222,62
2022-08-01;9;227,33
