hour,date,price
7,2022-07-16,"1,41"
8,2022-07-16,"1,43"
9,2022-07-16,"1,48"
10,2022-07-16,"1,50"
11,2022-07-16,"1,07"
12,2022-07-16,"0,07"
13,2022-07-16,"-0,05"
14,2022-07-16,"-0,10"
15,2022-07-16,"0,00"
16,2022-07-16,"1,03"
17,2022-07-16,"1,45"
18,2022-07-16,"1,48"
19,2022-07-16,"56,14"
20,2022-07-16,"168,25"
21,2022-07-16,"34,97"
22,2022-07-16,"1,84"
23,2022-07-16,"1,41"
0,2022-07-17,"1,51"
1,2022-07-17,"1,45"
2,2022-07-17,"1,45"
3,2022-07-17,"1,46"
4,2022-07-17,"1,45"
5,2022-07-17,"1,49"
6,2022-07-17,"1,51"
7,2022-07-17,"1,55"
8,2022-07-17,"1,81"
9,2022-07-17,"2,78"
10,2022-07-17,"3,55"
11,2022-07-17,"3,94"
12,2022-07-17,"3,95"
13,2022-07-17,"4,09"
14,2022-07-17,"4,37"
15,2022-07-17,"4,85"
16,2022-07-17,"7,56"
17,2022-07-17,"12,82"
18,2022-07-17,"16,02"
19,2022-07-17,"39,97"
20,2022-07-17,"59,90"
21,2022-07-17,"25,04"
22,2022-07-17,"29,81"
23,2022-07-17,"13,63"
0,2022-07-18,"31,93"
1,2022-07-18,"25,83"
2,2022-07-18,"23,41"
3,2022-07-18,"24,39"
4,2022-07-18,"25,05"
5,2022-07-18,"31,93"
6,2022-07-18,"58,53"
7,2022-07-18,"88,47"
8,2022-07-18,"135,83"
9,2022-07-18,"149,55"
10,2022-07-18,"160,45"
11,2022-07-18,"139,99"
12,2022-07-18,"99,09"
13,2022-07-18,"93,89"
14,2022-07-18,"86,10"
15,2022-07-18,"84,92"
16,2022-07-18,"86,29"
17,2022-07-18,"98,42"
18,2022-07-18,"105,79"
19,2022-07-18,"149,24"
20,2022-07-18,"104,22"
21,2022-07-18,"89,18"
22,2022-07-18,"79,47"
23,2022-07-18,"53,67"
0,2022-07-19,"38,92"
1,2022-07-19,"34,29"
2,2022-07-19,"34,72"
3,2022-07-19,"31,34"
4,2022-07-19,"28,59"
5,2022-07-19,"37,77"
6,2022-07-19,"52,55"
7,2022-07-19,"162,72"
8,2022-07-19,"166,33"
9,2022-07-19,"166,24"
